,0,1,2,3,4,5
91,11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",Haagen-Dazs Raspberry and Vanilla Frozen Yogurt bar,,5802,Ice cream and frozen dairy desserts
92,11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk",Turkey Hill Nonfat Frozen Yogurt,,5802,Ice cream and frozen dairy desserts
93,11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener","soft serve, sugar free, fat free frozen yogurt",,5802,Ice cream and frozen dairy desserts
94,11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener","soft serve, sugar free, fat free frozen yogurt",,5802,Ice cream and frozen dairy desserts
95,11460420,"Yogurt, frozen, NS as to flavor, whole milk",,,5802,Ice cream and frozen dairy desserts
96,11460430,"Yogurt, frozen, chocolate, whole milk",,,5802,Ice cream and frozen dairy desserts
97,11460440,"Yogurt, frozen, flavors other than chocolate, whole milk",,,5802,Ice cream and frozen dairy desserts
98,11461000,"Yogurt, frozen, chocolate-coated",,,5802,Ice cream and frozen dairy desserts
99,11461200,"Yogurt, frozen, sandwich",,,5802,Ice cream and frozen dairy desserts
100,11461250,"Yogurt, frozen, cone, chocolate",,2,5802,Ice cream and frozen dairy desserts
101,11461260,"Yogurt, frozen, cone, flavors other than chocolate",,2,5802,Ice cream and frozen dairy desserts
102,11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",McDonald's frozen yogurt cone,2,5802,Ice cream and frozen dairy desserts
103,11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",McDonald's frozen yogurt cone,2,5802,Ice cream and frozen dairy desserts
104,11480010,"Yogurt, whole milk, baby food","YoBaby Original, all flavors",2,9010,Baby food: yogurt
105,11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS","YoBaby Plus Fruit & Cereal, NFS",1,9010,Baby food: yogurt
106,11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",YoBaby Plus Fruit & Cereal with iron,1,9010,Baby food: yogurt
107,11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",YoBaby Plus Fruit & Cereal with DHA,1,9010,Baby food: yogurt
108,11511000,"Chocolate milk, NFS",NS as to milk or drink,1,1208,"Flavored milk, nonfat"
109,11511100,"Chocolate milk, ready to drink, whole",,1,1202,"Flavored milk, whole"
110,11511200,"Chocolate milk, ready to drink, reduced fat",2% fat,1,1204,"Flavored milk, reduced fat"
111,11511300,"Chocolate milk, ready to drink, fat free",nonfat milk; skim,1,1208,"Flavored milk, nonfat"
112,11511400,"Chocolate milk, ready to drink, low fat",Hershey's Chocolate milk; 1% fat,1,1206,"Flavored milk, lowfat"
113,11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",TruMoo; less sugar,1,1206,"Flavored milk, lowfat"
114,11511600,"Chocolate milk, ready to drink, low fat (Nesquik)","NS as to type of milk; regular, reduced, or less sugar; 1% fat",1,1206,"Flavored milk, lowfat"
115,11511610,"Chocolate milk, ready to drink, fat free (Nesquik)","regular, reduced, or less sugar; skim",1,1208,"Flavored milk, nonfat"
116,11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",NS as to type of milk; 1% fat,1,1206,"Flavored milk, lowfat"
117,11512010,"Hot chocolate / Cocoa, ready to drink","whole, 2%, or reduced fat milk; NS as to milk; evaporated milk; chocolate espanol; chocolate caliente; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar",2a,1204,"Flavored milk, reduced fat"
118,11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","low fat, fat free, skim, or 1% milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar",2a,1208,"Flavored milk, nonfat"
119,11514100,"Hot chocolate / Cocoa, made with dry mix and water","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; mint flavored",,1208,"Flavored milk, nonfat"
120,11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","almond, coconut, rice, or soy milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar",2,1404,Milk substitutes
121,11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream","whole, 2%, or reduced fat milk; NS as to milk; evaporated milk; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar",2a,1204,"Flavored milk, reduced fat"
122,11512110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","low fat, fat free, skim, or 1% milk; Starbucks; made from syrup, tablet, or bar",2a,1208,"Flavored milk, nonfat"
123,11512120,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream","almond, coconut, rice, or soy milk; Starbucks; made from syrup, tablet, or bar",2,1404,Milk substitutes
124,11513000,"Chocolate milk, made from dry mix, NS as to type of milk",,1,1204,"Flavored milk, reduced fat"
125,11513100,"Chocolate milk, made from dry mix with whole milk",,1,1202,"Flavored milk, whole"
126,11513150,"Chocolate milk, made from dry mix with reduced fat milk",2% fat,1,1204,"Flavored milk, reduced fat"
127,11513200,"Chocolate milk, made from dry mix with low fat milk",1% fat,1,1206,"Flavored milk, lowfat"
128,11513300,"Chocolate milk, made from dry mix with fat free milk",nonfat milk; skim milk,1,1208,"Flavored milk, nonfat"
129,11513310,"Chocolate milk, made from dry mix with non-dairy milk","almond, coconut, rice, or soy milk",1,1404,Milk substitutes
130,11513350,"Chocolate milk, made from reduced sugar mix, NS as to type of milk","less sugar, sugar free, or fat free mix",1,1204,"Flavored milk, reduced fat"
131,11513355,"Chocolate milk, made from reduced sugar mix with whole milk","less sugar, sugar free, or fat free mix",1,1202,"Flavored milk, whole"
132,11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk","less sugar, sugar free, or fat free mix; 2% fat",1,1204,"Flavored milk, reduced fat"
133,11513365,"Chocolate milk, made from reduced sugar mix with low fat milk","less sugar, sugar free, or fat free mix; 1% fat",1,1206,"Flavored milk, lowfat"
134,11513370,"Chocolate milk, made from reduced sugar mix with fat free milk","less sugar, sugar free, or fat free mix; nonfat milk; skim",1,1208,"Flavored milk, nonfat"
135,11513375,"Chocolate milk, made from reduced sugar mix with non-dairy milk","almond, coconut, rice, or soy milk",1,1404,Milk substitutes
136,11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar",1,1204,"Flavored milk, reduced fat"
137,11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar",1,1202,"Flavored milk, whole"
138,11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar; 2% fat",1,1204,"Flavored milk, reduced fat"
139,11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar; 1% fat",1,1206,"Flavored milk, lowfat"
140,11513384,"Chocolate milk, made from dry mix with fat free milk (Nesquik)","nonfat milk; regular, reduced, or less sugar; 25% less sugar; skim",1,1208,"Flavored milk, nonfat"
141,11513385,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","almond, coconut, rice, or soy milk",1,1404,Milk substitutes
142,11513390,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",sugar free mix,1,1204,"Flavored milk, reduced fat"
143,11513391,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",sugar free mix,1,1202,"Flavored milk, whole"
144,11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",sugar free mix; 2% fat,1,1204,"Flavored milk, reduced fat"
145,11513393,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",sugar free mix; 1% fat,1,1206,"Flavored milk, lowfat"
146,11513394,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",nonfat milk; sugar free mix; skim,1,1208,"Flavored milk, nonfat"
147,11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","almond, coconut, rice, or soy milk",1,1404,Milk substitutes
148,11513400,"Chocolate milk, made from syrup, NS as to type of milk",Nesquik; Hershey's,2a,1204,"Flavored milk, reduced fat"
149,11513500,"Chocolate milk, made from syrup with whole milk",Nesquik; Hershey's,2a,1202,"Flavored milk, whole"
150,11513550,"Chocolate milk, made from syrup with reduced fat milk",Nesquik; Hershey's; 2% fat,2a,1204,"Flavored milk, reduced fat"
151,11513600,"Chocolate milk, made from syrup with low fat milk",Nesquik; Hershey's; 1% fat,2a,1206,"Flavored milk, lowfat"
152,11513700,"Chocolate milk, made from syrup with fat free milk",nonfat milk; Nesquik; Hershey's; skim,2a,1208,"Flavored milk, nonfat"
153,11513750,"Chocolate milk, made from syrup with non-dairy milk","almond, coconut, rice, or soy milk",2,1404,Milk substitutes
154,11513800,"Chocolate milk, made from light syrup, NS as to type of milk",Hershey's Lite,2a,1204,"Flavored milk, reduced fat"
155,11513801,"Chocolate milk, made from light syrup with whole milk",Hershey's Lite,2a,1202,"Flavored milk, whole"
156,11513802,"Chocolate milk, made from light syrup with reduced fat milk",Hershey's Lite; 2% fat,2a,1204,"Flavored milk, reduced fat"
157,11513803,"Chocolate milk, made from light syrup with low fat milk",Hershey's Lite; 1% fat,2a,1206,"Flavored milk, lowfat"
158,11513804,"Chocolate milk, made from light syrup with fat free milk",nonfat milk; Hershey's Lite; skim fat,2a,1208,"Flavored milk, nonfat"
159,11513805,"Chocolate milk, made from light syrup with non-dairy milk","almond, coconut, rice, or soy milk",2,1404,Milk substitutes
160,11513850,"Chocolate milk, made from sugar free syrup, NS as to type of milk",Hershey's,2a,1204,"Flavored milk, reduced fat"
161,11513851,"Chocolate milk, made from sugar free syrup with whole milk",Hershey's,2a,1202,"Flavored milk, whole"
162,11513852,"Chocolate milk, made from sugar free syrup with reduced fat milk",Hershey's; 2% fat,2a,1204,"Flavored milk, reduced fat"
163,11513853,"Chocolate milk, made from sugar free syrup with low fat milk",Hershey's; 1% fat,2a,1206,"Flavored milk, lowfat"
164,11513854,"Chocolate milk, made from sugar free syrup with fat free milk",nonfat milk; Hershey's; skim,2a,1208,"Flavored milk, nonfat"
165,11513855,"Chocolate milk, made from sugar free syrup with non-dairy milk","almond, coconut, rice, or soy milk",2,1404,Milk substitutes
166,13120790,Ice cream sundae cone,"Drumstick, all flavors",1,5802,Ice cream and frozen dairy desserts
167,11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation",2a,1202,"Flavored milk, whole"
